央视频道,#genre#
CCTV1,http://mgws.live.miguvideo.com:8088/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c5288&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20231207142514&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=124.128.133.137&SecurityKey=20231207142514&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=70b12d6840f322a81f85353bb857a9c5
CCTV2,http://mgws.live.miguvideo.com:8088/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c1971&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20231207142629&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=124.128.133.137&SecurityKey=20231207142629&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=55eda19721fc88762ef5912d5cd511c0

CCTV3,http://mgsp-ali.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c3536&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20231207142659&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=124.128.133.137&SecurityKey=20231207142659&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=4a42cb5fb696f10f338ffbe893760c47

CCTV4,http://mgsp-hs.live.miguvideo.com:8088/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c5503&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20231207151408&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=124.128.133.137&SecurityKey=20231207151408&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=9659d80de885e35d06cd2277feb1c00d

CCTV5,http://mgsp-hs.live.miguvideo.com:8088/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c9181&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20231207143052&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=124.128.133.137&SecurityKey=20231207143052&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=fb909f18508afa2e902edf3f0fa4efe2
CCTV5+,http://mgws.live.miguvideo.com:8088/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c2844&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20231207143114&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=124.128.133.137&SecurityKey=20231207143114&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=3032c31117d29ff95224621acf43f62f
CCTV6,http://mgsp-hs.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c3358&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20231207143835&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=124.128.133.137&SecurityKey=20231207143835&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=f919eac6866f7884ea4e240c27a7fed2
