 央视频道,#genre#
CCTV1,http://cfss.vip/api/ysp/cctv1.m3u8
CCTV2,http://cfss.vip/api/ysp/cctv2.m3u8
CCTV3,http://cfss.vip/api/ysp/cctv3.m3u8
CCTV4,http://cfss.vip/api/ysp/cctv4.m3u8
CCTV5,http://cfss.vip/api/ysp/cctv5.m3u8
CCTV5+,http://cfss.vip/api/ysp/cctv5p.m3u8
CCTV6,http://cfss.vip/api/ysp/cctv6.m3u8
CCTV7,http://cfss.vip/api/ysp/cctv7.m3u8
CCTV8,http://cfss.vip/api/ysp/cctv8.m3u8
CCTV9,http://cfss.vip/api/ysp/cctv9.m3u8
CCTV10,http://cfss.vip/api/ysp/cctv10.m3u8
CCTV11,http://cfss.vip/api/ysp/cctv11.m3u8
CCTV12,http://cfss.vip/api/ysp/cctv12.m3u8
CCTV13,http://cfss.vip/api/ysp/cctv13.m3u8
CCTV14,http://cfss.vip/api/ysp/cctv14.m3u8
CCTV15,http://cfss.vip/api/ysp/cctv15.m3u8
CCTV16,http://cfss.vip/api/ysp/cctv16.m3u8
CCTV17,http://cfss.vip/api/ysp/cctv17.m3u8
CGTN,http://cfss.vip/api/ysp/cgtn.m3u8
CGTN,http://cfyy.cc/api/ysp/cgtn.m3u8
CCTV1,http://cfyy.cc/api/ysp/cctv1.m3u8
CCTV2,http://cfyy.cc/api/ysp/cctv2.m3u8
CCTV3,http://cfyy.cc/api/ysp/cctv3.m3u8
CCTV4,http://cfyy.cc/api/ysp/cctv4.m3u8
CCTV5,http://cfyy.cc/api/ysp/cctv5.m3u8
CCTV5+,http://cfyy.cc/api/ysp/cctv5p.m3u8
CCTV6,http://cfyy.cc/api/ysp/cctv6.m3u8
CCTV7,http://cfyy.cc/api/ysp/cctv7.m3u8
CCTV8,http://cfyy.cc/api/ysp/cctv8.m3u8
CCTV9,http://cfyy.cc/api/ysp/cctv9.m3u8
CCTV10,http://cfyy.cc/api/ysp/cctv10.m3u8
CCTV11,http://cfyy.cc/api/ysp/cctv11.m3u8
CCTV12,http://cfyy.cc/api/ysp/cctv12.m3u8
CCTV13,http://cfyy.cc/api/ysp/cctv13.m3u8
CCTV14,http://cfyy.cc/api/ysp/cctv14.m3u8
CCTV15,http://cfyy.cc/api/ysp/cctv15.m3u8
CCTV16,http://cfyy.cc/api/ysp/cctv16.m3u8
CCTV17,http://cfyy.cc/api/ysp/cctv17.m3u8

CCTV兵器科技,http://cfyy.cc/api/ysp/bqkj.m3u8
CCTV兵器科技,http://cfss.vip/api/ysp/bqkj.m3u8
CCTV第一剧场,http://cfyy.cc/api/ysp/dyjc.m3u8
CCTV第一剧场,http://cfss.vip/api/ysp/dyjc.m3u8
CCTV怀旧剧场,http://cfyy.cc/api/ysp/hjjc.m3u8
CCTV怀旧剧场,http://cfss.vip/api/ysp/hjjc.m3u8
CCTV风云剧场,http://cfyy.cc/api/ysp/fyjc.m3u8
CCTV风云剧场,http://cfss.vip/api/ysp/fyjc.m3u8
CCTV风云音乐,http://cfyy.cc/api/ysp/fyyy.m3u8
CCTV风云音乐,http://cfss.vip/api/ysp/fyyy.m3u8
CCTV风云足球,http://cfyy.cc/api/ysp/fyzq.m3u8
CCTV风云足球,http://cfss.vip/api/ysp/fyzq.m3u8
CCTV电视指南,http://cfyy.cc/api/ysp/dszn.m3u8
CCTV电视指南,http://cfss.vip/api/ysp/dszn.m3u8
CCTV女性时尚,http://cfyy.cc/api/ysp/nxss.m3u8
CCTV女性时尚,http://cfss.vip/api/ysp/nxss.m3u8
CCTV央视文化,http://cfyy.cc/api/ysp/yswh.m3u8
CCTV央视文化,http://cfss.vip/api/ysp/yswh.m3u8
CCTV世界地理,http://cfyy.cc/api/ysp/sjdl.m3u8
CCTV世界地理,http://cfss.vip/api/ysp/sjdl.m3u8
CCTV央视台球,http://cfyy.cc/api/ysp/ystq.m3u8
CCTV央视台球,http://cfss.vip/api/ysp/ystq.m3u8
CCTV卫生健康,http://cfyy.cc/api/ysp/wsjk.m3u8
CCTV卫生健康,http://cfss.vip/api/ysp/wsjk.m3u8
CCTV高尔夫网球,http://cfyy.cc/api/ysp/gefwq.m3u8
CCTV高尔夫网球,http://cfss.vip/api/ysp/gefwq.m3u8
CCTV1,http://110.183.27.48:808/hls/1/index.m3u8
CCTV2,http://110.183.27.48:808/hls/2/index.m3u8
CCTV3,http://110.183.27.48:808/hls/3/index.m3u8
CCTV4,http://110.183.27.48:808/hls/4/index.m3u8
CCTV5,http://110.183.27.48:808/hls/5/index.m3u8
CCTV5+,http://110.183.27.48:808/hls/55/index.m3u8
CCTV6,http://110.183.27.48:808/hls/6/index.m3u8
CCTV7,http://110.183.27.48:808/hls/7/index.m3u8
CCTV8,http://110.183.27.48:808/hls/8/index.m3u8
CCTV9,http://110.183.27.48:808/hls/9/index.m3u8
CCTV10,http://110.183.27.48:808/hls/10/index.m3u8
CCTV11,http://110.183.27.48:808/hls/11/index.m3u8
CCTV12,http://110.183.27.48:808/hls/12/index.m3u8
CCTV13,http://110.183.27.48:808/hls/13/index.m3u8
CCTV14,http://110.183.27.48:808/hls/14/index.m3u8
CCTV15,http://110.183.27.48:808/hls/15/index.m3u8

CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV3,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV4,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5+,https://node1.olelive.com:6443/live/CCTV5+HD/hls.m3u8
CCTV6,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
CCTV7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV10,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV11,https://node1.olelive.com:6443/live/CCTV11HD/hls.m3u8
CCTV12,https://node1.olelive.com:6443/live/CCTV12HD/hls.m3u8
CCTV13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV14,://node1.olelive.com:6443/live/CCTV14HD/hls.m3u8
CCTV15,https://node1.olelive.com:6443/live/CCTV15HD/hls.m3u8
CCTV16,https://node1.olelive.com:6443/live/CCTV16HD/hls.m3u8
CCTV17,https://node1.olelive.com:6443/live/CCTV17HD/hls.m3u8

中国教育2,http://zdwjl.eatuo.com:808/tsfile/live/1029_1.m3u8

中国教育4,http://zdwjl.eatuo.com:808/tsfile/live/1030_1.m3u8
中国交通,http://zdwjl.eatuo.com:808/tsfile/live/1031_1.m3u8

卫视频道,#genre#
湖南卫视,http://cfss.vip/api/ysp/fnws.m3u8
浙江卫视,http://cfss.vip/api/ysp/zjws.m3u8
东方卫视,http://cfss.vip/api/ysp/dfws.m3u8
北京卫视,http://cfss.vip/api/ysp/bjws.m3u8
江苏卫视,http://cfss.vip/api/ysp/jsws.m3u8
山东卫视,http://cfss.vip/api/ysp/sdws.m3u8
安徽卫视,http://cfss.vip/api/ysp/ahws.m3u8
重庆卫视,http://cfss.vip/api/ysp/cqws.m3u8
四川卫视,http://cfss.vip/api/ysp/scws.m3u8
江西卫视,http://cfss.vip/api/ysp/jxws.m3u8
河南卫视,http://cfss.vip/api/ysp/hnws.m3u8
河北卫视,http://cfss.vip/api/ysp/hbws.m3u8
湖北卫视,http://cfss.vip/api/ysp/fbws.m3u8
东南卫视,http://cfss.vip/api/ysp/dnws.m3u8
天津卫视,http://cfss.vip/api/ysp/tjws.m3u8
黑龙江卫视,http://cfss.vip/api/ysp/hljws.m3u8
辽宁卫视,http://cfss.vip/api/ysp/lnws.m3u8
深圳卫视,http://cfss.vip/api/ysp/szws.m3u8
广东卫视,http://cfss.vip/api/ysp/gdws.m3u8
广西卫视,http://cfss.vip/api/ysp/gxws.m3u8
贵州卫视,http://cfss.vip/api/ysp/gzws.m3u8
海南卫视,http://cfss.vip/api/ysp/hinws.m3u8
新疆卫视,http://cfss.vip/api/ysp/xjws.m3u8
湖南卫视,http://cfyy.cc/api/ysp/fnws.m3u8
浙江卫视,http://cfyy.cc/api/ysp/zjws.m3u8
东方卫视,http://cfyy.cc/api/ysp/dfws.m3u8
北京卫视,http://cfyy.cc/api/ysp/bjws.m3u8
